French,English
partie,part
chercher,search
seulement,only
pensais,thought
aide,help
genre,kind
mois,month
frère,brother
laisser,let
car,because
laisse,leash
ville,city
chaque,each
parlé,speak
devrait,should
heures,hours
vont,will
aucune,any
compris,understood
savais,knew
voici,here is
pourrais,could
donner,give
donné,given
train,train
yeux,eyes
façon,way
écoute,listen
trouve,find
premier,first
perdu,lost
première,first
côté,side
vieux,old
sois,be
enfant,child
point,point
venu,came
suite,after
devant,in front of
belle,beautiful
droit,law
mari,husband
parti,left
nouvelle,new
boulot,job
terre,Earth
compte,account
donne,given
croire,believe
jouer,to play
